# English confusion sets, mostly homophones
# Original source: After the Deadline's data/rules/homophonedb.txt
# URL: http://openatd.wordpress.com/ or https://openatd.svn.wordpress.org/atd-server/data/rules/homophonedb.txt
# License: GNU Lesser General Public License as published by the Free Software Foundation; either
#          version 2.1 of the License, or (at your option) any later version.
#
# Line format:
# <word1>|<description1>; <word2>|<description2>
#   <word1> and <word2> are words that can easily be confused
#   <description> will be used in the error message to explain the word (optional)
#   <factor> is the factor of how much more the other word must be more
#            probable so the text is considered potentially incorrect.
#            Use a higher value for better precision but lower recall.
#   Precision (p) and recall (r) values in the comments come from ConfusionRuleEvaluator
#     and are based on Wikipedia, Tatoeba, and Enron data, usually with 1000 random 
#     sentences (if that many sentence are available for that pair). The number after recall
#     is the number of sentences used for evaluation.
# Order is relevant for ambiguous cases like 'know' ('no' or 'now') where the match
# is used whose pair comes first in this file.
able; bale
chased|went after to catch;chaste|morally pure
Chicago; Chicano
chance|opportunity; change|alteration, modification
chewn; tune
choral|choir, musical ensemble of singers;coral|marine invertebrates
chord|combination of notes; cord|line made of twisted fibers
chords|combinations of notes; cords|lines made of twisted fibers
citing|mention, refer;sighting|the act of observing
clack|a noise;claque|a group hired to applaud
clamber|climb awkwardly; clamor|a loud harsh noise
clambers|climb awkwardly; clamors|a loud harsh noise
click|mouse click, short metallic sound;clique|ingroup
climactic|forming a climax; climatic|relating to climate
climb|go upward;clime|climate
climbs|go upward; climes|climate
close|shut;clothes|dresses
coal|fossil fuel;cole|cabbage
coals|fossil fuels; coles|cabbages
coarse|rough-cut, harsh;course|class, path, track
coat|clothing;cote|shelter for domestic animals
coats|clothing; cotes|shelter for domestic animals
coax|coax cable;cokes|carbon fuel, Coca Cola
coco; cocoa
coffer|a chest for storing valuables;cougher|person who coughs
coiffeur|hairdresser;coiffure|hair style
coif; quaff
coir; coyer
cold; could
collaborate|work together;corroborate|confirm
collaborates|work together; corroborates|confirm
coma|state of deep unconsciousness;comber|person who separates the fibers of cotton
coma|state of deep unconsciousness;comma|punctuation character ','
compete; complete
competes; completes
complacently|in a self-satisfied manner; complaisantly|willing to please
complacent|self-satisfied;complaisant|obliging 
complains|3rd person of 'complain'; complaints|plural of noun 'complaint'
complain|express discontent (verb); complaint|expression of grievance (noun)
complement|to add to so as to improve; compliment|an admiring remark
conch|a shell;conk|hairdo, colloquial for 'nose'
conjecture|speculation, guess; conjuncture|combination of events
con|an argument opposed to a proposal; khan|title given to rulers
conscience|moral sense;conscious|knowing
coo|speak softly;coup|putsch, takeover
coos|speak softly; coups|putsch, takeover
copes|third person singular of 'cope';copse|a dense growth of bushes
cor; core
cord|a line made of twisted fibers;cored|removed the core from
cosign|sign jointly;cosine|trigonometric function of an angle
cosigns|sign jointly; cosines|trigonometric function of an angle
cousin|the child of your aunt or uncle; cozen
cousins|the child of your aunt or uncle; cozens
coward|a person who shows fear;cowered|huddled
craft|skilled practice;kraft|Kraft paper
crafts|skilled practice; krafts|Kraft paper
crate; create
crates; creates
crewel|surface embroidery using wool;cruel|brutal, barbarous
crews|plural of 'crew' = persons who man a vehicle;cruise|an ocean trip
crises|plural; crisis|singular
crochet|create by looping or crocheting;crotchet|a sharp curve or crook
cue|a clue; queue|waiting line
cued; queued
dairy|business processing animal milk;diary|a daily written record
dam|constructed barrier;damn|expletive
dear|address at the beginning of a letter;deer|animal
deceased|dead; diseased|pathological
decent|nice, correct; descent|downward movement, origin
deducible|capable of being deduced;deductible|acceptable as a tax deduction
defamation|a false accusation;deformation|distortion
defamations|a false accusation; deformations|distortion
defiantly|in a rebellious manner; definitely|without question
defuse|remove the triggering device; diffuse|spread over a wide area
defuses|remove the triggering device; diffuses|spread over a wide area
demur|take exception to; demure|overmodest
descent|a movement downward; dissent|a difference of opinion
desert|arid land; dessert|last course of a meal
deviant|noun, adjective, or verb;deviate|noun or adjective
deviants|noun, adjective, or verb; deviates|noun or adjective
device|a constructed tool;devise|contrive, invent
diagnoses|plural; diagnosis|singular
dialogue|a conversation;discuss|verb: talk about
died;dyed
die|decease, pass away;dye|color with dye
dies|plural of 'dice', third person of 'die';dyes|third person of 'dye'
dire|desperate;dyer|someone whose job is to dye cloth
discreet|marked by modesty;discrete|distinct
discussed|past of 'discuss';disgust|strong feelings of dislike
disinterested|unaffected by self-interest; uninterested|not interested
does|third person of 'do'; dose
dos|colloquial plural of 'do';dues|a payment that is due
